    ENTRY#        PC    TARGET      PRED      BUSY
       395    40262c    4025f8         1         1
       396    424630    424640         2         1
       397    403634    40361c         1         1
       398    402638    400200         0         1
       399    42463c    424610         0         1
       400    419640    419670         0         1
       401    424644    42466c         2         1
       402    403648    4206c0         0         1
       403    40764c    40774c         0         1
       404    409650    40966c         0         1
       405    424654    424660         0         1
       406    417658    4176b4         0         1
       407    40465c    421c10         0         1
       409    424664    4245f0         0         1
       410    401668    400200         0         1
       411    40466c    421c10         0         1
       413    404674    422260         0         1
       414    402678    400200         0         1
       417    408684    4086b0         0         1
       418    419688    4197c0         0         1
       422    400698    400664         1         1
       423    40469c    4045d4         1         1
       426    4246a8    4246bc         0         1
       427    4226ac    400288         0         1
       430    4026b8    400200         0         1
       431    4046bc    421c10         0         1
       432    4176c0    4064a8         0         1
       433    4006c4    400200         0         1
       435    4046cc    421c10         0         1
       436    4136d0    4148ec         0         1
       438    4086d8    40878c         0         1
       439    4156dc    4156ec         0         1
       443    4206ec    4206f8         0         1
       444    4036f0    421c10         0         1
       445    4246f4    424730         0         1
       446    4026f8    400200         0         1
       448    403700    421c10         0         1
       450    404708    421c10         0         1
       452    403710    421c10         0         1
       454    417718    41830c         0         1
       455    40471c    421c10         0         1
       456    403720    421c10         0         1
       457    404724    422260         0         1
       458    401728    400200         0         1
       459    40272c    4026f8         1         1
       460    403730    421c10         0         1
       461    424734    424760         0         1
       462    402738    400200         0         1
       464    403740    421c10         0         1
       465    405744    4159b0         0         1
       467    41874c    41f860         0         1
       468    403750    421c10         0         1
       470    420758    42080c         0         1
       471    40175c    401728         1         1
       472    403760    421c10         0         1
       473    424764    424770         0         1
       474    403768    422260         0         1
       475    40276c    402738         1         1
       476    402770    400200         0         1
       477    407774    407794         0         1
       478    424778    424780         0         1
       480    422780    4227b8         0         1
       481    424784    4247c8         0         1
       482    402788    400200         0         1
       483    40578c    405858         0         1
       484    406790    4069c8         0         1
       486    403798    4036d8         1         1
       487    40179c    401768         1         1
       489    4077a4    4077b4         1         1
       490    4187a8    4187bc         0         1
       491    4027ac    402784         1         1
       494    4007b8    400200         0         1
       495    4027bc    400200         0         1
       496    4077c0    4077dc         0         1
       498    4087c8    4087fc         0         1
       499    4227cc    4227ec         0         1
       503    4157dc    4157ec         0         1
       507    4027ec    400200         0         1
       509    4197f4    419814         1         1
       510    4217f8    421a90         0         1
       511    4037fc    422260         0         1
       516    422810    422854         0         1
       517    420814    420ce0         0         1
       518    421818    4219b4         0         1
       519    42481c    424828         0         1
       520    421820    42196c         0         1
       521    404824    404830         0         1
       522    407828    40785c         0         1
       523    42482c    42483c         0         1
       526    403838    4206c0         0         1
       530    419848    4198d0         0         1
       531    40484c    404858         0         1
       532    424850    424868         0         1
       535    40185c    401828         1         1
       536    403860    421c10         0         1
       538    401868    400200         0         1
       539    40286c    400200         0         1
       540    421870    421af4         0         1
       541    424874    423c7c         0         1
       542    421878    421880         0         1
       545    422884    426b9c         0         1
       546    405888    40598c         0         1
       547    40088c    400200         0         1
       548    421890    4219b4         0         1
       550    421898    42196c         0         1
       551    40389c    4206c0         0         1
       552    4028a0    40286c         1         1
       553    4208a4    422110         0         1
       554    4018a8    400200         0         1
       555    4028ac    400200         0         1
       556    4038b0    421c10         0         1
       560    4048c0    4206c0         0         1
       561    4038c4    421c10         0         1
       562    4228c8    4228f0         0         1
       566    4038d8    421c10         0         1
       567    4158dc    4158ec         0         1
       571    4038ec    421c10         0         1
       573    4038f4    422260         0         1
       575    4008fc    400200         0         1
       576    420900    420940         0         1
       577    422904    422a9c         0         1
       578    404908    421c10         0         1
       579    41490c    404df4         0         1
       581    404914    4048fc         1         1
       582    420918    42092c         0         1
       583    42b91c    42dc6c         0         1
       584    402920    4028ec         1         1
       586    403928    421c10         0         1
       587    42192c    4219b4         0         1
       588    419930    419964         0         1
       589    421934    42196c         0         1
       590    408938    408d90         0         1
       591    40393c    421c10         0         1
       592    41f940    41f8b0         1         1
       593    404944    404958         0         1
       594    41f948    418750         0         1
       596    41f950    4201a8         0         1
       598    420958    420960         0         1
       599    40195c    401928         1         1
       600    402960    40292c         1         1
       601    403964    421c10         0         1
       602    401968    400200         0         1
       603    40396c    422260         0         1
       604    420970    400224         0         1
       605    421974    42199c         0         1
       608    419980    4083a4         0         1
       610    41f988    420180         0         1
       611    40798c    4079a4         0         1
       613    420994    4209b0         0         1
       615    40499c    4049ac         0         1
       616    4099a0    409a58         0         1
       617    4249a4    423c60         0         1
       618    4159a8    404e4c         0         1
       619    4029ac    400200         0         1
       620    4189b0    418b40         0         1
       621    41f9b4    420180         0         1
       622    4209b8    4230a8         0         1
       623    4079bc    40795c         3         1
       624    4009c0    400200         0         1
       625    4079c4    407ad4         0         1
       627    4209cc    42b1f0         0         1
       629    4219d4    421a5c         0         1
       630    4209d8    420a24         0         1
       631    4059dc    4059ec         0         1
       635    4029ec    400200         0         1
       638    41f9f8    419a58         0         1
       639    4039fc    4206c0         0         1
       644    403a10    421c10         0         1
       645    415a14    415a24         0         1
       646    403a18    422260         0         1
       647    401a1c    400200         1         1
       648    402a20    4029ec         1         1
       649    403a24    4206c0         0         1
       650    423a28    423a8c         0         1
       651    405a2c    4052d8         2         1
       652    400a30    400200         0         1
       654    403a38    421c10         0         1
       655    42ea3c    42ea48         0         1
       656    402a40    400200         0         1
       658    405a48    405174         0         1
       659    423a4c    420c3c         0         1
       661    419a54    41f954         0         1
       662    420a58    42b0c0         0         1
       663    402a5c    400200         0         1
       664    403a60    421c10         0         1
       666    403a68    422260         0         1
       668    423a70    423a80         2         1
       669    420a74    42b1f0         0         1
       670    419a78    419ac8         0         1
       673    420a84    420af0         0         1
       674    403a88    421c10         0         1
       675    421a8c    420d94         0         1
       677    402a94    400200         0         1
       678    423a98    423b7c         0         1
       679    403a9c    421c10         0         1
       680    400aa0    400200         0         1
       681    409aa4    4096b8         1         1
       682    405aa8    400298         0         1
       683    400aac    400200         0         1
       684    409ab0    409fbc         0         1
       685    405ab4    416fb8         0         1
       686    403ab8    422260         0         1
       689    419ac4    419b7c         0         1
       691    421acc    421ad8         0         1
       692    422ad0    422b04         3         1
       694    403ad8    421c10         0         1
       695    421adc    421af4         0         1
       696    401ae0    400200         0         1
       698    406ae8    406a7c         3         1
       699    403aec    421c10         0         1
       700    421af0    42190c         0         1
       701    406af4    406a08         1         1
       703    401afc    400200         0         1
       704    422b00    422b20         0         1
       705    402b04    400200         0         1
       706    403b08    422260         0         1
       707    400b0c    400200         0         1
       708    407b10    4072c0         1         1
       709    422b14    42ad50         0         1
       710    405b18    405b20         0         1
       712    420b20    420b48         0         1
       713    400b24    400200         0         1
       714    422b28    422ab8         1         1
       715    419b2c    419b7c         0         1
       716    421b30    421b44         0         1
       717    401b34    400200         0         1
       719    402b3c    400200         0         1
       720    422b40    422c2c         0         1
       722    421b48    421b84         3         1
       723    426b4c    4260b0         0         1
       724    421b50    421b84         2         1
       726    426b58    426b6c         0         1
       728    420b60    420b70         0         1
       729    400b64    400200         0         1
       730    405b68    405b7c         0         1
       731    403b6c    4206c0         0         1
       732    407b70    406ec0         0         1
       733    402b74    400200         0         1
       736    421b80    421b1c         0         1
       738    426b88    426ba4         2         1
       739    420b8c    420948         0         1
       740    402b90    400200         0         1
       741    403b94    421c10         0         1
       742    426b98    422748         0         1
